Blog	times	together	better	photos	word	add	house	point	came	using	business	either	done	else	over	site	help	page	needs	their	story	personal	again	report	getting	happy	u	take	will	minutes	recently	watch	three	service	give	build	call	big	hope	app	into	how	read	way	man	worked	around	group	million	second	won	kind	pretty	ways	president	future	still	play	itself	both	live	does	user	example	got	post	everyone	ago	same	home	amp	show	change	others	make	go	only	has	companies	android	also	write	say	start	love	mean	people	based	he	words	fast	system	taking	though	case	all	works	questions	created	ask	comes	day	youtube	any	american	looking	found	never	really	made	across	z	email	learn	few	talk	control	next	me	see	security	lot	right	interesting	money	did	series	months	left	york	likely	social	tips	book	twitter	four	via	wants	available	don	tool	myself	off	once	need	website	public	writing	photo	always	place	car	hand	been	human	less	posted	shot	during	blog	having	said	hard	head	reason	days	ve	called	small	back	tell	rather	very	told	try	gets	problem	dead	someone	find	data	up	each	outside	features	check	now	technology	idea	means	five	run	every	open	your	product	special	such	own	network	review	year	do	years	high	away	possible	face	while	share	line	thought	morning	bad	several	part	popular	facebook	little	company	why	original	state	after	tv	happens	easy	doing	ever	remember	information	view	value	video	they	reading	takes	until	since	known	recent	had	friday	working	apple	yes	nbsp	want	lead	google	free	making	set	far	x	continue	content	short	yet	support	keep	weekend	instead	com	team	close	most	took	look	within	building	didn	its	readers	enough	smart	already	amazon	latest	who	thing	full	links	night	design	going	think	co	week	later	am	interview	david	when	great	stop	use	says	yesterday	which	move	number	work	level	d	then	things	ll	down	wrong	two	health	update	or	please	art	month	tech	might	water	top	self	stuff	first	order	web	internet	fact	know	april	our	users	another	spend	long	asked	here	today	question	nothing	music	create	so	friends	too	these	let	posts	name	started	yourself	apps	phone	past	would	stories	visit	everything	should	seen	whole	there	old	through	probably	come	good	turn	often	where	anything	important	course	us	news	link	white	him	deal	if	his	center	because	even	were	above	without	sure	major	get	click	project	bit	actually	digital	used	other	anyone	tools	anti	something	become	may	than	least	time	almost	research	being	key	list	doesn	sometimes	version	she	out	no	program	m	favorite	feel	before	person	obama	success	issue	family	send	wrote	end	note	re	maybe	aren	following	media	trying	world	some	single	under	her	well	them	isn	community	different	city	text	put	mark	store	online	real	images	k	makes	against	best	last	seems	between	whether	much	wasn	could	went	game	search	those	th	black	life	many
Online Marketing Report	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	3	0	1	0	0	2	0	1	0	2	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	1	1	0	0	0	3	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	2	0	0	0	1	0	0	0	0	0	3	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	17	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	2	0	0	0	3	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	3	0	0	0	0	0	0	2	0	0	0	0	0	1	0	2	0	0	0	1	0	0	0	0	0	0	1	0	0	4	0	0	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	4	1	0	2	0	0	0	0	0	2	0	1	0	0	2	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	23	0	0	4	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0
Signal vs. Noise	2	1	7	1	0	0	1	3	5	7	4	0	4	5	3	0	0	2	0	32	1	1	5	0	0	4	0	5	1	1	1	5	0	4	0	0	0	6	0	4	2	17	2	16	0	0	5	0	2	0	3	6	2	2	0	0	3	3	1	3	5	1	4	2	7	1	11	2	8	3	0	3	2	3	13	8	7	11	3	5	6	0	1	4	3	1	10	2	19	0	0	0	4	3	0	21	1	1	1	0	3	17	0	8	1	0	5	5	4	10	0	0	0	1	10	1	0	1	15	8	0	6	5	3	5	4	2	1	0	3	1	1	0	2	15	0	1	0	1	8	2	1	4	4	4	0	1	1	0	5	2	0	3	12	0	4	1	2	2	0	1	1	2	2	2	1	17	0	2	4	4	0	8	0	4	1	4	2	5	5	11	16	2	2	0	0	7	1	4	3	0	2	10	1	15	7	3	0	4	0	2	1	18	6	5	4	0	4	2	1	1	1	0	3	0	4	2	1	4	4	9	3	1	6	0	1	3	4	2	0	1	2	0	1	76	0	3	2	7	2	0	9	0	7	5	1	0	3	1	0	0	1	0	0	0	0	1	0	1	16	1	0	2	0	10	0	9	1	9	0	0	7	2	0	2	1	1	0	3	10	12	1	0	1	4	1	3	1	1	0	2	0	0	20	10	1	6	0	0	4	1	0	8	1	7	1	19	3	4	0	2	0	0	34	0	1	4	1	2	4	2	0	4	9	1	1	0	1	8	0	17	3	4	2	3	1	8	2	5	2	1	2	28	3	6	8	2	0	5	10	2	3	1	2	6	2	0	5	6	1	1	9	3	5	5	3	13	1	9	5	7	6	2	6	1	2	0	2	1	9	7	0	12	11	10	0	6	1	1	16	0	1	1	4	0	4	10	1	0	0	10	2	1	5	3	13	7	3	6	1	0	4	2	2	3	15	11	0	15	4	15	4	1	0	2	2	0	0	2	2	0	17	1	4	2	0	2	5	17	2	2	4	3	20	9	0	3	0	0	3	0	8	0	3	0	0	4	0	7	4	0	1	0	2	2	13	3	5	0	11	1	1	1	8
we make money not art	0	2	0	2	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	10	0	0	2	0	0	0	0	2	5	0	0	0	2	0	0	0	0	0	0	0	1	1	0	2	0	0	0	2	0	0	0	0	0	0	0	3	0	0	0	0	1	2	0	0	0	3	1	1	1	2	0	0	2	1	1	0	0	3	1	0	2	0	0	0	0	1	3	3	1	0	0	2	0	0	0	2	1	1	2	0	0	3	0	0	1	0	0	3	3	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	4	0	0	0	0	1	0	5	0	1	0	0	2	0	1	0	0	1	0	0	1	1	2	1	0	1	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	2	4	1	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	2	3	0	1	0	0	0	2	2	0	1	0	0	0	0	3	0	0	0	0	1	0	2	0	0	2	0	0	0	0	0	0	0	2	2	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	1	0	0	0	0	15	0	3	1	0	0	0	0	0	0	0	3	0	2	0	2	0	3	0	0	2	1	0	1	5	0	0	7	0	1	1	0	0	0	0	0	2	0	4	0	1	3	0	0	2	0	0	1	1	5	0	0	0	1	1	1	0	0	0	0	6	0	0	0	0	1	1	0	2	0	2	1	0	1	0	2	0	0	0	1	0	1	1	0	0	1	1	0	0	0	3	1	0	1	0	0	0	0	0	0	0	0	0	2	0	0	1	0	4	0	0	1	0	1	1	0	0	1	10	4	0	0	0	1	0	0	0	2	2	5	0	0	0	0	0	0	1	0	0	0	2	4	0	0	3	0	2	1	0	1	4	1	0	0	0	1	0	0	0	1	0	1	0	3	0	0	1	0	0	0	2	0	0	0	0	0	1	0	0	0	2	0	3	2	1	1	0	1	2	0	2	0	0	0	0	0	0	1	0	1	0	0	1	0	2	0	3	0	0	0	0	0	0	0	0	0	0	2	0
Publishing 2.0	4	1	0	0	0	0	1	0	0	2	7	0	0	1	4	11	2	13	3	6	4	0	0	3	0	0	1	1	14	0	1	0	3	1	0	0	0	4	1	0	1	15	1	4	0	0	4	0	1	2	2	5	0	0	1	21	1	1	0	2	0	0	2	2	3	9	1	1	0	0	0	1	2	1	4	1	1	18	8	0	1	0	1	2	0	0	5	1	8	0	5	0	0	1	2	15	1	1	1	2	2	0	3	3	0	1	1	0	0	0	1	0	0	0	4	1	2	2	1	2	0	3	6	2	3	0	0	1	2	5	0	1	0	2	7	0	0	0	0	6	0	0	1	0	2	0	0	1	1	0	0	0	0	5	2	1	2	0	0	6	0	1	1	3	1	3	6	4	0	2	1	2	2	0	0	2	1	1	1	1	1	2	1	1	2	0	7	4	1	0	1	0	2	2	5	1	0	0	2	2	0	1	2	2	2	5	0	0	2	1	0	0	0	0	1	0	0	4	0	3	9	2	2	0	2	1	1	2	0	0	3	0	5	0	12	8	0	0	2	0	3	5	0	0	0	0	0	1	2	9	2	3	2	0	0	2	15	0	1	1	2	0	1	10	1	0	13	0	0	0	0	0	4	6	3	0	1	0	0	2	1	5	9	0	0	3	2	0	5	0	6	0	0	3	5	1	2	0	1	12	0	2	1	1	1	2	1	2	2	1	4	0	1	7	0	0	0	0	1	0	1	0	1	9	0	22	4	1	2	0	7	1	0	0	1	1	7	5	4	1	0	1	13	0	2	5	1	0	1	2	0	0	0	0	2	10	1	2	4	0	0	11	1	5	0	2	1	0	2	4	0	7	1	6	57	14	0	0	0	10	4	0	5	0	0	0	1	1	2	6	0	2	1	1	2	2	7	3	1	0	0	3	3	3	1	2	1	0	2	0	0	2	1	0	0	8	5	2	5	0	0	0	0	0	0	0	0	2	1	2	0	8	0	0	0	14	2	2	5	0	0	0	2	1	2	0	0	1	3	3	0	0	9	0	0	0	0	0	3	5	1	0	1	3	0	5	0	2	1	2	0	0	0	6
gapingvoid: "cartoons drawn on the back of business cards"	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	1	1	0	1	0	0	0	0	1	0	0	0	0	1	0	2	0	0	0	0	2	0	0	0	2	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	2	0	1	0	0	0	0	1	1	0	0	0	0	1	0	1	0	1	1	0	0	3	0	0	0	0	0	0	2	0	1	0	0	0	1	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	4	2	0	0	0	1	0	0	3	0	1	2	0	1	0	4	4	1	0	0	0	1	0	0	1	0	0	0	0	1	3	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	1	2	0	1	2	0	0	3	0	0	0	0	0	0	0	0	6	1	0	0	1	3	0	0	0	0	0	0	0	1	0	0	0	1	0	0	2	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	2	1	0	1	0	0	0	2	0	0	0	0	2	1	1	0	2	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	2	4	0	2	0	0	1	0	0	2	0	5	0	0	1	2	0	1	1	0	7	0	2	0	1	3	0	0	0	0	1	1	0	0	2	0	0	0	1	0	0	0	1	0	0	0	6	3	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	2	0	0	0	0	1	0	0	0	1	8	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	2	0	0	0	0	0	0	0	1	1	2	3	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	1	0	1	0	0	0	0	2	0	0	0	0	2	0	0	0	0	0	1	0	0	0	1	2	0	0	0
TMZ.com	0	0	2	0	0	0	1	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	4	0	0	0	1	1	1	1	0	0	0	1	0	0	0	3	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	1	2	0	0	1	0	0	0	0	0	0	1	0	0	1	2	0	0	0	1	1	3	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	1	0	0	0	0	0	0	3	0	0	0	1	1	0	4	0	4	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	1	0	2	1	0	0	0	0	0	0	0	0	0	0	3	0	1	0	0	0	0	0	0	3	0	1	1	1	4	0	0	0	1	0	0	1	1	1	0	0	1	0	0	0	5	3	0	1	3	1	0	0	1	0	0	0	5	0	1	0	1	2	0	0	0	0	0	0	0	2	0	0	0	2	0	0	1	1	1	0	0	0	1	1	0	0	0	1	0	0	1	1	0	1	1	0	0	0	7	2	0	0	0	1	0	0	0	0	0	0	0	1	0	0	2	0	2	0	0	0	0	0	1	2	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	1	0	0	0	0	0	0	0	6	0	0	0	3	0	1	0	2	4	1	1	0	0	5	0	0	0	3	0	2	0	0	2	0	0	0	0	2	4	0	0	0	0	3	1	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	1	0	0	0	2	0	4	1	0	0	2	1	1	1	0	2	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	3	1	0	0	0	4	0	0	0	1	0	0	2	1	0	1	2	2	2	15	0	2	2	0	0	0	0	0	3	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	2	0	1	0	1	8	3	1	0	0	0	1	2	0	4	0	1	0	0	0	0	0	2	0	0	0	0	2	1	0	0	1	8	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	1	1	1	0	0	0	0	0	1	2	0	0	0	0	1	0	0
Gawker	7	0	0	0	0	0	3	0	1	1	0	0	0	0	2	0	1	0	0	4	1	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	2	0	0	0	4	2	25	0	9	0	1	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	1	6	0	0	1	0	1	0	0	0	3	0	2	0	0	1	0	0	0	0	0	0	0	0	2	1	1	4	1	0	1	0	2	2	0	2	2	0	0	0	0	0	1	1	0	0	0	0	1	3	1	1	0	6	0	0	4	0	2	0	0	0	0	2	0	2	0	0	0	0	0	1	1	1	0	2	0	1	0	0	1	3	0	0	1	2	1	2	0	3	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	2	1	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	1	0	1	0	0	0	4	0	0	2	2	1	2	0	0	1	0	0	0	0	5	9	0	0	0	1	0	0	0	0	0	1	1	1	0	0	0	0	0	6	3	0	0	1	0	2	0	0	1	0	0	0	0	0	0	0	0	1	0	2	0	3	0	0	1	0	1	0	1	0	2	0	0	0	1	0	0	4	0	1	0	5	0	0	1	0	3	0	0	1	0	1	0	0	2	1	1	7	0	1	0	0	4	2	1	0	0	1	3	0	0	4	0	0	2	0	0	0	0	0	0	1	0	1	1	1	0	0	2	0	0	0	1	0	1	1	2	0	1	0	1	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	1	0	0	1	3	3	0	1	3	0	2	5	1	1	2	3	1	2	1	0	2	0	0	0	0	0	0	2	0	0	0	1	0	1	3	2	4	0	0	2	1	3	0	0	0	2	4	4	1	6	1	0	2	0	1	0	0	0	2	0	0	0	1	0	0	1	2	0	1	3	1	0	4	0	4	0	0	0	5	0	0	0	0	0	0	0	0	0	2	0	5	0	0	0	0	0	2	1	0	0	0	0	0	1	0
PerezHilton	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	1	2	1	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	3	0	0	0	1	2	1	0	6	0	0	0	0	1	0	5	0	2	0	5	2	0	0	0	1	0	5	0	0	0	0	0	0	0	1	0	0	0	1	2	1	0	0	0	0	0	0	0	0	2	2	0	1	1	1	1	0	0	0	0	0	0	2	0	0	3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	4	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	4	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	1	0	0	2	0	1	4	0	0	0	0	1	0	0	0	0	0	1	0	0	0	3	0	1	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	5	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	0	1	0	0	0	0	0	0	4	0	0	4	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	1	0	0	0	0	0	1	0	7	0	0	0	1	0	0	3	0	0	1	2	0	0	0	0	0	1	0	0	0	0	0	1	1	3	2	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	13	0	2	1	2	0	0	0	0	2	7	0	0	0	0	0	0	0	0	0	0	0	1	2	0	1	0	0	0	0	0	0	0	0	4	6	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	1	2	1	0	4	0	0	5	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	1
kottke.org	1	3	1	0	1	0	0	3	3	2	1	0	0	1	7	1	1	2	1	7	0	1	1	0	3	0	1	2	12	2	3	4	4	3	0	1	1	2	2	3	7	17	2	8	2	0	6	1	4	2	1	2	0	1	0	0	0	1	0	1	1	2	0	0	1	4	1	1	1	1	1	0	3	0	6	1	8	16	0	0	6	4	4	0	0	1	3	2	21	1	0	1	1	3	0	12	0	0	3	0	1	1	1	5	3	1	2	4	4	9	1	0	0	1	2	1	0	1	9	8	2	4	2	3	1	3	5	1	0	0	2	0	0	7	3	1	12	0	2	8	0	2	2	2	0	1	0	1	0	2	1	0	1	7	2	1	0	2	0	0	1	0	1	2	0	2	2	6	1	2	2	2	2	0	2	2	1	1	0	2	1	7	3	1	1	1	6	2	1	2	4	1	8	1	9	0	2	2	5	1	2	3	6	7	0	1	7	0	5	1	0	4	1	1	1	3	0	0	3	2	4	3	0	3	7	0	0	0	0	3	2	1	0	26	22	1	1	2	2	0	1	9	1	2	5	0	224	4	0	1	2	5	2	2	3	0	2	2	2	1	3	0	0	2	0	1	3	2	2	1	1	0	3	1	0	0	5	4	1	11	5	0	0	0	6	5	2	1	0	2	4	0	3	7	3	0	3	2	1	6	0	2	1	0	4	8	3	3	3	0	5	3	6	23	1	2	0	0	2	2	3	0	0	7	3	1	0	0	4	1	6	0	4	1	6	0	5	3	2	2	4	2	9	0	2	7	2	0	0	1	0	0	0	0	8	1	0	2	3	1	2	11	1	4	2	4	4	0	1	1	1	1	2	8	1	0	1	1	0	10	11	1	1	12	5	0	4	4	0	5	1	0	2	1	6	1	3	2	2	0	2	1	4	10	2	8	2	1	6	0	4	1	2	2	1	9	1	0	4	3	1	3	0	0	1	0	0	0	3	1	0	8	2	0	1	0	0	12	6	3	0	2	2	7	2	1	3	5	2	2	2	0	2	0	0	3	2	1	4	1	1	1	1	4	1	2	3	0	1	2	2	6	2	3
MetaFilter	4	0	1	0	1	0	0	0	0	2	2	1	0	0	1	2	0	1	0	6	0	4	1	0	0	0	1	3	2	0	0	0	3	0	0	0	0	2	0	0	3	4	1	0	1	1	0	0	0	0	0	1	3	0	0	0	1	2	1	1	0	4	0	0	1	2	1	0	3	0	2	0	0	0	6	0	5	3	0	0	2	0	0	0	1	0	3	0	7	1	0	0	0	2	0	6	1	0	0	0	2	0	2	0	1	0	0	1	1	1	0	0	0	0	0	1	0	0	3	1	1	0	1	0	2	0	0	1	1	2	0	3	0	2	1	0	2	0	0	1	0	0	1	0	2	1	0	0	0	0	1	0	0	3	0	1	0	0	2	0	3	1	0	1	0	0	0	0	0	3	0	2	2	0	0	0	0	0	0	2	0	2	1	0	2	0	4	1	0	0	0	0	0	0	8	1	2	1	3	2	1	1	5	1	1	2	1	0	4	0	0	0	1	0	0	1	0	1	2	0	1	0	0	2	0	0	0	0	4	2	0	0	0	4	2	0	0	0	1	0	0	1	1	0	0	0	0	1	0	0	0	2	2	0	0	2	0	2	0	3	1	0	1	0	0	0	4	0	1	2	0	0	5	0	1	0	0	0	0	6	1	2	0	1	0	0	3	1	0	0	1	0	0	5	1	0	3	2	0	1	0	0	2	0	0	1	2	0	3	0	0	0	0	6	0	1	0	1	0	1	0	1	2	2	1	0	0	1	1	0	7	0	0	0	1	0	1	0	0	2	5	0	2	1	2	4	1	0	0	1	0	0	1	1	1	1	0	1	0	1	0	5	1	1	0	0	0	1	0	1	0	1	1	6	0	1	0	1	1	2	3	0	6	4	3	0	3	0	0	3	1	0	0	2	1	3	2	0	0	0	4	0	2	8	1	0	0	1	3	1	2	3	0	0	1	7	1	1	0	0	0	2	0	3	0	0	1	0	0	2	0	4	1	0	0	2	0	2	2	0	1	0	2	1	1	2	0	0	0	1	1	0	2	1	0	0	1	2	0	0	0	0	0	1	1	3	0	4	0	1	0	1	1	2
Gothamist	4	0	0	0	0	0	0	2	1	0	0	0	0	0	3	0	0	0	0	4	0	0	1	0	0	0	0	1	4	0	0	0	2	0	1	0	0	0	1	0	3	2	0	3	6	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	5	0	0	1	2	2	7	0	0	2	1	0	0	0	0	2	0	2	0	0	0	1	0	0	4	0	0	0	0	0	3	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	3	0	0	1	0	2	0	0	0	0	2	0	0	2	1	0	0	1	0	2	1	0	1	0	4	0	1	0	3	3	0	0	0	0	1	1	0	2	1	0	0	0	0	1	0	0	0	0	0	0	0	0	3	0	0	0	2	3	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	2	0	0	0	0	0	3	0	0	1	3	3	0	0	0	2	1	0	1	0	1	2	0	0	0	0	1	0	0	0	0	2	3	0	1	1	2	0	0	5	2	1	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	1	1	2	1	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	8	0	1	2	2	1	3	0	2	4	0	1	1	2	2	0	0	0	0	1	2	0	0	0	0	0	2	0	1	2	4	2	0	2	1	0	0	2	0	1	0	0	0	0	2	0	0	0	0	1	1	0	0	2	0	0	0	1	2	0	0	1	0	1	2	0	2	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	3	0	0	0	2	2	0	0	2	1	0	0	3	4	0	0	3	0	1	5	2	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	3	0	2	1	0	0	0	0	3	0	0	2	0	0	0	0	0	0	8	2	1	2	0	0	0	0	0	0	1	0	0	0	2	0	2	1	0	1	0	0	0	1	0	2	1	0	0	0	0	1	5	0	0	2	0	0	0	0	0	0	2	0	1	0	0	2	1	0	2	0	1	0	0	2	0	0	0
Neil Gaiman's Journal	3	6	2	5	1	0	17	4	14	2	4	1	14	7	21	2	8	5	3	39	27	2	13	3	8	8	0	8	64	6	0	5	6	3	2	1	2	7	9	2	22	15	37	8	4	0	10	1	5	3	8	13	7	2	0	2	14	2	3	7	3	6	0	0	15	6	2	10	7	1	5	11	2	2	33	25	29	32	0	4	33	9	8	6	16	3	62	0	29	2	1	2	3	2	4	49	2	9	4	11	4	21	1	8	5	7	9	14	25	13	3	3	2	5	16	15	0	12	98	31	0	5	10	4	1	19	4	6	5	21	0	4	0	52	15	0	2	0	5	15	0	9	11	4	12	5	7	21	10	8	12	1	11	25	2	0	28	0	3	12	5	12	4	2	1	8	30	11	13	20	7	3	30	9	2	0	3	5	7	10	0	39	8	1	1	1	30	0	3	3	5	3	9	4	29	4	7	5	6	0	3	41	38	13	2	3	2	3	15	3	3	8	7	2	1	13	2	8	10	1	7	1	3	12	2	2	2	18	14	6	5	2	0	8	74	12	4	7	7	2	2	39	4	4	0	4	250	18	1	4	5	11	4	5	5	0	0	11	3	6	4	2	3	32	0	2	18	7	10	2	0	10	18	2	4	1	10	12	1	49	15	5	4	23	2	28	15	7	13	5	24	17	3	47	6	4	4	2	5	38	3	1	12	0	18	30	42	33	6	3	26	1	1	67	7	32	3	0	7	3	1	1	5	29	10	2	1	0	23	6	9	0	7	3	7	13	55	10	4	3	9	0	38	6	13	8	10	2	7	3	7	3	6	1	33	18	5	11	15	7	8	57	11	7	9	20	24	4	2	32	6	6	2	39	3	16	5	16	1	44	19	0	27	12	33	2	5	6	1	24	4	11	8	3	0	0	15	7	0	1	17	7	12	8	2	37	6	1	16	1	2	5	3	5	44	82	13	1	56	0	5	18	5	0	1	0	12	1	18	16	3	9	1	3	3	6	7	23	32	0	4	31	8	42	4	1	4	1	3	16	2	1	1	4	2	4	4	1	13	22	7	9	3	26	8	16	17	2	1	6	36	23	12	14
Guy Kawasaki	1	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	2	0	0	3	0	0	0	0	0	0	0	1	2	0	0	0	0	1	0	1	0	0	0	0	0	6	1	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	11	0	0	0	0	0	0	0	0	2	0	0	0	1	0	1	0	0	1	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	5	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	10	3	0	0	0	0	0	1	2	1	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	2	0	0	0	3	0	1	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	1	0	1	0	0	0	0	4	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	4	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	2	0	0	4	0	0	1	1	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	4	0	0	2	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	2	1	0	0	0	1	0	0	2	0	0	0	0	0	0	1
